student_course_id,total_clicks,active_days,resources_accessed,is_sparse
106577_AAA_2013J,733,47,50,False
1065824_FFF_2013J,9441,282,145,False
106588_BBB_2013J,981,76,59,False
106690_FFF_2013J,188,3,35,False
106793_BBB_2014J,404,27,48,False
1068316_CCC_2014J,1262,78,68,False
1068316_DDD_2013B,1917,179,133,False
107028_CCC_2014B,85,9,13,False
107028_FFF_2013J,527,38,66,False
107084_FFF_2013J,1389,70,90,False
107162_FFF_2013B,4042,112,198,False
1072259_FFF_2014B,1753,63,88,False
107339_CCC_2014B,2243,118,79,False
107339_EEE_2013J,2171,129,50,False
1073766_CCC_2014B,2201,74,102,False
1073766_EEE_2013J,2124,102,63,False
1073767_FFF_2013B,5458,148,206,False
107455_FFF_2014J,995,60,78,False
107489_AAA_2014J,3717,184,84,False
1076015_CCC_2014J,588,62,56,False
107713_BBB_2014B,111,15,15,False
1078701_CCC_2014J,2629,134,90,False
1078701_DDD_2014J,1914,141,111,False
107883_CCC_2014J,605,29,47,False
1080206_DDD_2013J,1793,122,187,False
108118_BBB_2013J,396,23,41,False
1082062_DDD_2014J,2461,190,103,False
108207_FFF_2014B,2989,129,158,False
108281_EEE_2014J,3741,153,63,False
108330_FFF_2013B,2657,118,112,False
108377_BBB_2013B,2399,150,34,False
108497_EEE_2014J,2189,133,63,False
108565_DDD_2013B,202,9,30,False
108589_BBB_2013B,411,39,41,False
108760_BBB_2013J,844,51,21,False
1087710_CCC_2014B,656,30,51,False
108789_DDD_2013J,102,10,17,False
108799_BBB_2014B,472,42,53,False
108822_FFF_2014B,6995,158,204,False
108834_CCC_2014B,280,27,30,False
108859_BBB_2014J,1990,127,111,False
108872_AAA_2014J,1377,83,64,False
108949_FFF_2014B,445,34,43,False
108949_FFF_2014J,105,18,32,False
1090738_FFF_2013B,1168,59,77,False
1091274_CCC_2014J,898,46,118,False
109155_AAA_2014J,3019,135,83,False
109372_BBB_2013J,1423,123,44,False
109441_BBB_2014J,678,45,74,False
109577_CCC_2014J,1539,59,45,False
109577_FFF_2014J,1509,61,90,False
1095916_CCC_2014B,3132,138,77,False
1095916_DDD_2013B,1334,137,139,False
1097354_FFF_2013B,2902,117,217,False
109772_GGG_2014B,199,13,19,False
109782_BBB_2013J,154,22,19,False
1098728_BBB_2013B,391,51,37,False
109938_BBB_2013B,396,49,40,False
1100143_FFF_2013J,11817,262,278,False
1100639_CCC_2014B,658,60,77,False
110085_FFF_2013B,1348,50,110,False
110116_FFF_2013B,3795,117,134,False
1101190_CCC_2014J,779,50,63,False
110175_AAA_2013J,998,70,68,False
110200_DDD_2013B,157,21,36,False
1103608_DDD_2013J,2735,191,192,False
110461_EEE_2013J,12,1,4,True
110524_DDD_2014J,876,84,124,False
110529_FFF_2014B,2970,107,98,False
1105438_BBB_2013J,394,22,31,False
1105478_AAA_2013J,1672,125,62,False
1105628_DDD_2013B,1447,135,163,False
110640_DDD_2014J,1718,124,116,False
1106724_CCC_2014B,289,15,26,False
1107079_DDD_2013B,151,18,40,False
110789_EEE_2014J,1066,36,56,False
1108120_BBB_2014B,55,2,19,False
110820_FFF_2014J,1106,66,58,False
110881_BBB_2013B,754,71,40,False
110881_FFF_2013J,4065,132,155,False
110911_BBB_2014J,510,33,47,False
111113_DDD_2013B,367,43,39,False
1112555_AAA_2014J,2404,146,94,False
111360_DDD_2013B,386,36,51,False
111360_DDD_2013J,311,41,61,False
111512_AAA_2014J,439,21,34,False
111548_DDD_2013J,542,41,54,False
1115623_CCC_2014B,1266,66,79,False
111678_FFF_2013J,4,1,3,True
111717_AAA_2013J,2320,136,89,False
111775_FFF_2013B,3066,115,157,False
1118218_CCC_2014J,293,24,31,False
1118284_FFF_2013B,3694,173,245,False
1118432_BBB_2014J,2335,78,94,False
111926_DDD_2013J,967,75,86,False
111926_DDD_2014J,586,68,38,False
111942_BBB_2013J,1853,107,110,False
111959_DDD_2014B,431,40,66,False
112245_DDD_2013B,2262,130,221,False
112441_GGG_2014B,952,36,53,False
112454_CCC_2014J,1131,83,93,False
1127413_BBB_2014B,220,35,21,False
113295_AAA_2013J,3549,195,92,False
113565_FFF_2013J,2173,40,127,False
113698_EEE_2013J,271,26,30,False
113702_FFF_2014J,1877,63,98,False
113824_EEE_2013J,525,34,33,False
11391_AAA_2013J,882,40,55,False
114017_AAA_2013J,757,50,39,False
114367_CCC_2014J,2183,131,84,False
114402_BBB_2014J,961,70,64,False
114500_FFF_2013J,3171,140,134,False
114558_DDD_2013J,1620,137,163,False
114999_AAA_2013J,1358,120,86,False
115373_FFF_2013B,3088,136,123,False
115452_BBB_2014B,590,69,35,False
116174_CCC_2014B,76,7,14,False
116174_FFF_2014B,181,9,29,False
116290_FFF_2013J,139,9,25,False
116319_GGG_2014B,276,6,25,False
116499_FFF_2013J,166,14,42,False
116518_CCC_2014B,877,58,45,False
116529_FFF_2013J,1266,52,76,False
116529_FFF_2014J,89,14,16,False
116541_AAA_2013J,1886,108,73,False
116603_BBB_2013B,1179,86,57,False
116606_BBB_2014J,511,41,45,False
116621_FFF_2014B,4731,202,158,False
116631_FFF_2013J,540,33,49,False
116692_AAA_2013J,1108,98,64,False
116763_DDD_2014B,115,8,21,False
116808_FFF_2013J,12024,233,324,False
1170618_BBB_2013J,550,53,73,False
117071_BBB_2013B,74,5,8,False
117197_EEE_2013J,922,46,44,False
117232_CCC_2014B,1051,108,69,False
117232_FFF_2013J,1306,88,97,False
117281_DDD_2014B,1422,91,130,False
1173473_DDD_2014J,2547,199,160,False
117435_DDD_2013B,1355,60,152,False
1175060_DDD_2014B,37,1,16,False
117510_FFF_2014B,3633,150,224,False
117544_BBB_2014J,2545,136,101,False
117545_BBB_2014J,424,14,39,False
117550_FFF_2014B,252,21,26,False
117699_BBB_2014B,473,57,50,False
117818_AAA_2014J,1695,98,77,False
117862_DDD_2013B,56,6,16,False
117939_DDD_2013B,666,37,65,False
118050_FFF_2013J,1025,70,64,False
118098_CCC_2014B,413,18,25,False
118176_FFF_2013J,147,7,29,False
118213_BBB_2014J,21,4,7,True
1183831_AAA_2014J,2808,105,126,False
118474_GGG_2014B,474,38,35,False
118479_DDD_2014B,3444,147,192,False
118532_FFF_2013B,4410,143,161,False
118578_DDD_2014J,792,77,85,False
118668_FFF_2013B,3054,86,155,False
1187586_CCC_2014B,1397,83,81,False
1187586_DDD_2013J,1279,101,134,False
118877_BBB_2014J,4,2,2,True
118887_DDD_2013J,10,3,4,True
118983_AAA_2013J,284,27,35,False
119310_CCC_2014J,119,9,14,False
119310_FFF_2014J,2178,74,118,False
119353_CCC_2014B,58,7,9,False
119353_FFF_2013B,3201,137,162,False
119444_BBB_2014J,83,11,12,False
119444_GGG_2014B,531,25,32,False
119471_BBB_2014B,592,75,74,False
1197062_DDD_2014J,155,8,29,False
119729_CCC_2014B,473,27,36,False
119865_FFF_2014J,2170,119,136,False
119898_BBB_2013J,167,16,23,False
119902_AAA_2014J,2590,81,79,False
120236_CCC_2014J,1179,77,60,False
120611_GGG_2014B,123,11,7,False
1209065_DDD_2014J,110,11,20,False
120994_BBB_2013B,740,34,57,False
120999_DDD_2013J,507,64,63,False
121000_DDD_2013B,342,25,54,False
121056_GGG_2013J,17,3,4,True
121163_EEE_2014J,405,32,32,False
121182_GGG_2014J,92,8,18,False
121349_AAA_2014J,2009,98,72,False
121390_DDD_2013B,371,26,58,False
122337_GGG_2014B,634,38,53,False
122392_CCC_2014B,809,66,74,False
122459_GGG_2013J,270,19,29,False
122636_GGG_2013J,110,18,7,False
122739_DDD_2013J,526,48,71,False
122846_GGG_2013J,1001,60,48,False
122928_GGG_2013J,184,8,20,False
123044_AAA_2013J,2037,127,75,False
123053_DDD_2014J,342,52,39,False
123087_BBB_2014J,461,36,47,False
123183_DDD_2014J,2819,199,180,False
123270_BBB_2014B,145,15,15,False
123462_BBB_2014B,1001,60,91,False
123497_DDD_2013J,497,35,59,False
123598_CCC_2014B,512,36,55,False
123598_CCC_2014J,652,64,44,False
123598_DDD_2013J,806,77,131,False
123716_BBB_2013J,1068,148,41,False
123860_BBB_2013B,1292,94,109,False
123957_DDD_2013J,609,57,63,False
123957_DDD_2014J,64,6,21,False
124006_DDD_2013J,734,41,103,False
124018_FFF_2014B,82,6,17,False
124064_AAA_2014J,2039,162,61,False
124124_CCC_2014B,21,5,7,True
124134_DDD_2014B,1136,103,113,False
124193_CCC_2014B,933,83,57,False
124304_EEE_2014J,1896,96,55,False
124379_FFF_2013J,167,9,29,False
124387_DDD_2013J,56,4,16,False
124711_CCC_2014J,194,17,27,False
124711_EEE_2014J,69,13,14,False
124728_DDD_2013B,186,4,61,False
124728_DDD_2014J,1783,84,113,False
124909_BBB_2013J,1520,163,48,False
124944_GGG_2014B,920,60,43,False
125018_AAA_2014J,2195,121,59,False
125055_BBB_2014B,863,55,30,False
125063_FFF_2014J,3327,119,161,False
1253440_FFF_2013J,469,8,51,False
125407_GGG_2014J,160,14,17,False
125535_BBB_2014J,196,28,32,False
125777_CCC_2014J,438,20,37,False
125830_DDD_2014J,1410,90,111,False
125874_BBB_2013J,5,1,4,True
125874_BBB_2014J,40,1,8,False
125996_FFF_2013B,3061,74,153,False
126074_FFF_2013J,209,6,42,False
126088_FFF_2013B,1140,67,69,False
126322_BBB_2013B,526,52,25,False
126337_CCC_2014B,690,23,35,False
126337_EEE_2013J,1756,80,53,False
126394_CCC_2014B,1750,92,52,False
126394_DDD_2013J,1855,110,96,False
126395_CCC_2014B,1193,77,88,False
126411_BBB_2013B,25,7,3,False
126450_EEE_2014J,2561,113,64,False
126608_BBB_2014B,443,33,34,False
126713_BBB_2014B,291,53,25,False
126769_BBB_2014J,1186,85,88,False
126800_BBB_2014J,1472,85,88,False
126812_CCC_2014J,660,37,32,False
126812_DDD_2013J,2201,162,153,False
1268696_AAA_2014J,326,27,24,False
1268772_CCC_2014B,718,31,64,False
1268772_EEE_2014B,1398,50,49,False
1270832_CCC_2014B,2085,131,86,False
127179_FFF_2014J,358,8,41,False
127580_DDD_2014B,3002,166,183,False
127582_AAA_2013J,1303,89,64,False
127642_FFF_2013J,2257,64,135,False
127988_DDD_2013J,186,30,43,False
128072_CCC_2014J,153,10,25,False
128132_FFF_2014B,1302,52,99,False
128142_FFF_2013B,1449,55,113,False
1282596_DDD_2013J,4306,179,163,False
128348_DDD_2014B,493,36,56,False
128386_BBB_2013J,66,13,7,False
128510_CCC_2014B,413,35,24,False
128510_CCC_2014J,459,63,39,False
128656_DDD_2013J,386,16,87,False
128678_DDD_2013B,782,56,90,False
128723_FFF_2013J,76,4,21,False
128776_BBB_2013B,146,8,26,False
128791_FFF_2013B,1203,43,93,False
128817_EEE_2014J,673,31,30,False
128889_BBB_2013J,9428,244,82,False
128929_EEE_2013J,1332,67,63,False
128965_DDD_2013J,496,45,91,False
128968_FFF_2014B,3036,119,130,False
128971_EEE_2014B,1885,97,55,False
129198_CCC_2014B,896,39,52,False
129198_CCC_2014J,20,7,8,True
129212_GGG_2013J,1417,63,47,False
129638_CCC_2014B,911,47,58,False
129878_CCC_2014B,251,22,31,False
129907_FFF_2014J,3691,73,185,False
129955_AAA_2013J,1011,83,51,False
129955_AAA_2014J,877,77,36,False
129989_DDD_2014J,1410,105,145,False
130003_DDD_2013B,238,23,35,False
130013_BBB_2014B,252,25,37,False
130034_AAA_2014J,1831,103,72,False
1301103_CCC_2014J,663,51,97,False
130403_FFF_2013B,5407,150,179,False
130409_FFF_2014J,1406,55,87,False
130467_DDD_2013J,1218,101,125,False
130547_AAA_2014J,1232,82,70,False
130636_AAA_2014J,332,20,46,False
130658_FFF_2013J,3195,112,154,False
130671_CCC_2014J,219,18,13,False
130671_DDD_2013J,980,89,82,False
1307784_CCC_2014B,224,16,29,False
130837_DDD_2013J,66,3,26,False
130992_FFF_2014B,1954,120,84,False
131051_BBB_2013J,999,106,67,False
1311171_CCC_2014B,1480,102,99,False
1311171_DDD_2013B,1326,123,160,False
131145_CCC_2014B,4514,205,121,False
131145_DDD_2013B,3330,218,167,False
131152_DDD_2014J,377,40,57,False
131222_CCC_2014J,1809,127,76,False
131222_DDD_2013J,2063,134,161,False
131235_DDD_2013B,744,30,96,False
131272_FFF_2013B,5018,172,190,False
131314_GGG_2014J,292,15,15,False
131390_AAA_2014J,155,9,22,False
131538_FFF_2014B,2195,98,116,False
131597_FFF_2014J,2755,146,113,False
131609_DDD_2013B,454,26,57,False
131612_DDD_2014J,1655,137,112,False
131663_CCC_2014J,58,5,20,False
131695_DDD_2014B,223,23,32,False
131776_EEE_2014J,1042,79,49,False
131820_GGG_2014B,168,12,24,False
1318759_FFF_2014J,4784,165,124,False
131933_CCC_2014B,720,38,34,False
131933_CCC_2014J,893,33,20,False
1319732_GGG_2013J,308,20,31,False
1319999_FFF_2013J,2467,125,130,False
132123_EEE_2013J,993,66,39,False
132157_DDD_2014J,698,127,64,False
132157_FFF_2014B,1924,126,113,False
132191_CCC_2014B,79,14,17,False
132401_DDD_2013J,996,61,113,False
132423_CCC_2014J,116,9,9,False
132423_FFF_2014J,268,9,33,False
132453_FFF_2013J,1469,65,67,False
132475_FFF_2014J,4137,126,154,False
132477_FFF_2014B,652,36,58,False
132511_DDD_2014J,403,42,40,False
132626_BBB_2013J,480,54,22,False
132924_BBB_2014J,21,5,6,True
132932_GGG_2014J,292,37,26,False
132972_BBB_2014B,176,17,17,False
132976_AAA_2013J,520,32,47,False
133019_FFF_2013J,3644,141,182,False
133068_GGG_2014B,1235,78,42,False
133104_CCC_2014B,1143,82,51,False
133104_FFF_2014B,2207,100,86,False
133155_BBB_2013B,1308,61,36,False
133185_FFF_2013J,3083,103,145,False
1332356_CCC_2014J,1099,76,82,False
1332356_DDD_2014B,506,55,105,False
1332514_CCC_2014J,930,32,38,False
1332999_BBB_2014B,489,40,56,False
133322_FFF_2014B,2249,83,114,False
133365_DDD_2014J,2106,136,159,False
133419_CCC_2014J,406,19,49,False
1334225_EEE_2014J,4388,148,75,False
1336190_AAA_2014J,1021,50,54,False
1337055_FFF_2013B,2347,94,207,False
133718_FFF_2013J,544,24,49,False
133748_BBB_2013B,408,45,35,False
133816_AAA_2014J,4000,128,79,False
1338955_GGG_2014B,7,2,2,True
133922_AAA_2014J,574,58,47,False
134025_CCC_2014B,818,57,58,False
134025_DDD_2013B,2051,172,157,False
1340760_CCC_2014J,517,68,63,False
1340760_FFF_2014B,3273,137,149,False
1340766_BBB_2013J,652,53,55,False
1341096_GGG_2013J,1553,157,31,False
134123_GGG_2014B,762,43,30,False
134143_AAA_2013J,2691,138,85,False
1341507_BBB_2014B,381,50,32,False
134188_DDD_2013B,1150,130,94,False
134190_CCC_2014J,306,18,24,False
134212_EEE_2014J,2024,100,54,False
134243_DDD_2014J,2275,202,151,False
134260_FFF_2013B,1109,56,92,False
134336_DDD_2013B,278,36,65,False
134563_BBB_2013J,5089,182,62,False
134578_FFF_2013B,160,4,32,False
1345808_CCC_2014J,1049,57,42,False
1345808_DDD_2013J,1953,126,156,False
1346966_DDD_2013J,19,2,11,True
1347198_FFF_2013B,2497,83,168,False
134721_DDD_2014B,90,9,28,False
1347253_GGG_2013J,1771,111,40,False
1347447_DDD_2013B,1122,91,151,False
1348205_FFF_2014J,7467,164,261,False
134847_FFF_2013J,367,8,51,False
134847_FFF_2014B,1476,26,106,False
134851_FFF_2014B,5611,179,222,False
134920_DDD_2014J,236,25,56,False
134982_CCC_2014J,44,2,6,False
134982_EEE_2013J,988,47,47,False
135075_FFF_2013B,2614,111,264,False
1351739_DDD_2013B,1760,137,222,False
1352733_CCC_2014J,9800,278,120,False
135280_FFF_2014J,2146,60,265,False
1352868_AAA_2013J,641,36,38,False
1352868_AAA_2014J,1091,107,60,False
135330_CCC_2014B,242,20,28,False
135330_EEE_2014B,546,24,19,False
135331_GGG_2013J,24,4,3,False
135335_AAA_2013J,57,10,8,False
135335_AAA_2014J,16,5,4,True
135385_DDD_2013J,2484,132,167,False
135400_AAA_2013J,287,24,28,False
135400_AAA_2014J,320,22,25,False
1354095_EEE_2014J,4341,170,62,False
135471_AAA_2014J,2281,127,88,False
1355699_DDD_2013J,1320,139,72,False
135763_EEE_2014J,573,35,40,False
135792_CCC_2014B,691,40,48,False
1359554_FFF_2013J,2477,104,153,False
135999_DDD_2014J,188,19,24,False
136054_FFF_2014B,2121,107,133,False
1360878_DDD_2014J,233,41,38,False
1360953_CCC_2014J,1779,93,85,False
136135_DDD_2014J,798,77,79,False
136335_CCC_2014J,646,36,30,False
136793_DDD_2014J,626,53,72,False
136894_FFF_2013J,2284,94,132,False
136944_FFF_2014B,304,25,36,False
136944_FFF_2014J,966,50,58,False
137150_DDD_2014B,151,12,40,False
137281_CCC_2014J,811,38,52,False
1375851_DDD_2013J,1548,74,184,False
137603_DDD_2013B,1628,124,168,False
137873_AAA_2013J,5499,192,86,False
137903_FFF_2013J,5998,187,284,False
1380308_DDD_2014J,416,35,74,False
138204_DDD_2014B,182,18,35,False
1382719_DDD_2014J,1143,122,135,False
138289_BBB_2013J,575,35,42,False
138407_BBB_2014J,926,45,76,False
138416_DDD_2014B,977,82,104,False
1384882_DDD_2013B,319,22,66,False
138704_DDD_2014B,1298,69,125,False
138709_DDD_2013B,515,25,54,False
138709_DDD_2013J,187,5,30,False
138710_GGG_2013J,732,32,63,False
138715_DDD_2013J,540,41,65,False
138715_DDD_2014J,36,8,6,False
138861_CCC_2014J,812,61,59,False
138920_BBB_2013J,437,30,39,False
138997_CCC_2014J,344,53,25,False
1390051_FFF_2013J,1537,57,94,False
139033_AAA_2014J,790,60,55,False
1391717_FFF_2014J,1983,69,98,False
139190_CCC_2014B,152,12,13,False
139190_FFF_2013J,2520,115,140,False
1392016_DDD_2013B,478,42,59,False
139206_FFF_2014J,4561,147,204,False
139250_BBB_2014B,518,59,41,False
139278_FFF_2013J,1728,58,123,False
139329_GGG_2014B,1070,68,45,False
1393589_BBB_2014B,227,38,41,False
139455_DDD_2014B,115,7,44,False
139549_BBB_2013J,286,27,23,False
139701_FFF_2013J,584,17,43,False
1397617_FFF_2013J,5006,201,199,False
1397662_FFF_2013B,5687,106,273,False
139843_DDD_2013J,127,13,23,False
1398489_FFF_2014B,2067,88,144,False
1398979_AAA_2014J,5069,194,125,False
1399285_BBB_2013J,481,46,55,False
1399314_FFF_2013J,261,9,23,False
139949_FFF_2013B,3146,140,91,False
1400592_EEE_2013J,71,2,13,False
140060_EEE_2013J,2048,108,59,False
140108_FFF_2014B,61,5,16,False
1401935_AAA_2013J,240,24,26,False
1402638_AAA_2013J,910,75,67,False
140518_EEE_2013J,244,13,15,False
1405453_GGG_2014J,951,46,43,False
1405594_BBB_2013J,7589,216,70,False
1406920_BBB_2014B,1556,55,28,False
140719_BBB_2014B,260,32,38,False
1407549_CCC_2014J,8,3,3,True
140807_DDD_2013J,2568,127,166,False
140866_FFF_2013B,2800,62,141,False
140907_FFF_2013B,3115,164,147,False
1409532_FFF_2014J,1984,118,139,False
1410398_EEE_2014B,679,53,39,False
1411562_FFF_2013B,613,12,56,False
1411627_BBB_2013J,3294,194,76,False
141182_DDD_2014B,12,2,5,True
141301_DDD_2013J,392,39,44,False
1413027_GGG_2014B,1831,79,47,False
141355_AAA_2013J,1823,92,74,False
141377_AAA_2013J,143,9,21,False
141377_AAA_2014J,613,34,55,False
1413902_FFF_2014J,3979,114,133,False
1413989_BBB_2013B,189,16,14,False
1413989_BBB_2013J,47,6,2,False
141430_FFF_2014B,3026,134,157,False
1414443_AAA_2013J,1898,43,91,False
141497_DDD_2014B,467,22,45,False
141506_AAA_2014J,415,26,26,False
141648_FFF_2013J,5057,196,216,False
1416784_CCC_2014B,1186,37,59,False
141766_DDD_2013B,7,1,3,True
1417707_FFF_2013J,5690,183,207,False
141823_BBB_2013B,276,25,17,False
141827_GGG_2014J,452,36,42,False
141949_BBB_2013J,862,56,35,False
1419671_BBB_2014J,113,4,19,False
1420537_FFF_2013J,2755,79,154,False
1420575_GGG_2014J,574,34,30,False
142092_CCC_2014J,1177,51,112,False
142092_EEE_2014J,1517,63,72,False
1421720_BBB_2013J,774,77,74,False
1422737_GGG_2014B,326,33,37,False
142310_FFF_2014J,1989,77,124,False
142324_BBB_2013B,199,11,18,False
142324_BBB_2014J,579,35,54,False
142326_AAA_2013J,2121,95,84,False
142339_FFF_2013B,5384,187,210,False
1424608_FFF_2014J,214,8,32,False
1425806_FFF_2014B,4529,177,239,False
142819_DDD_2013B,435,33,80,False
1428865_FFF_2013J,440,18,31,False
142935_CCC_2014B,4834,170,135,False
1429504_EEE_2014J,2328,98,59,False
142990_GGG_2013J,135,10,26,False
142998_DDD_2013J,7,1,2,True
1430804_DDD_2013B,1253,39,107,False
1431750_BBB_2014B,4,2,2,True
1432518_BBB_2014J,359,27,47,False
143350_FFF_2013B,2350,104,115,False
1436558_FFF_2013B,2913,134,165,False
1436591_BBB_2013B,1519,103,47,False
143711_EEE_2013J,2032,109,71,False
143741_BBB_2013B,703,53,43,False
143755_FFF_2014J,4018,104,192,False
1438584_DDD_2014J,191,17,36,False
1439723_CCC_2014J,749,60,66,False
1440072_FFF_2013B,3711,125,142,False
1440341_BBB_2013J,1663,128,104,False
1440467_CCC_2014B,5183,213,120,False
1440467_DDD_2013J,3157,234,199,False
1442215_DDD_2014J,977,80,99,False
1442706_FFF_2013B,2123,86,103,False
1442981_CCC_2014J,1188,49,69,False
1442991_CCC_2014B,709,70,64,False
1442991_DDD_2013J,877,95,123,False
1444134_DDD_2013B,2890,202,256,False
144448_EEE_2013J,4324,143,57,False
1444520_FFF_2013B,3370,122,249,False
144562_FFF_2013J,1983,95,118,False
1446954_DDD_2013B,1162,67,129,False
144745_CCC_2014J,774,56,87,False
144745_EEE_2014B,1734,97,62,False
144747_FFF_2013B,1445,68,141,False
144801_AAA_2013J,5645,200,122,False
144895_DDD_2013J,1501,99,108,False
1448966_FFF_2014J,1870,34,111,False
144908_DDD_2014B,342,30,40,False
1449171_FFF_2014J,373,15,29,False
144923_DDD_2013B,311,30,70,False
1449245_CCC_2014J,395,17,37,False
144959_FFF_2013J,411,24,44,False
144959_FFF_2014J,409,29,32,False
1449692_DDD_2013J,5071,234,233,False
1450604_FFF_2014J,4197,113,182,False
145114_CCC_2014J,712,42,44,False
145114_DDD_2014B,1097,49,137,False
145130_AAA_2013J,452,35,48,False
145188_DDD_2014J,26,1,12,False
145280_BBB_2014J,661,36,69,False
145282_CCC_2014B,1515,106,79,False
1453140_BBB_2014J,217,19,24,False
1453691_BBB_2014B,350,19,35,False
145388_GGG_2014B,259,24,19,False
145490_CCC_2014J,832,59,41,False
145544_BBB_2013B,862,76,86,False
1455474_FFF_2013J,228,7,17,False
145578_DDD_2014J,653,33,28,False
145640_CCC_2014J,1189,85,78,False
145640_DDD_2014B,1070,103,132,False
1456619_AAA_2013J,467,22,36,False
1456619_AAA_2014J,705,34,42,False
1457691_EEE_2014B,1395,102,63,False
145770_DDD_2014B,42,4,8,False
1459010_DDD_2014J,1889,30,137,False
146089_DDD_2013B,1,1,1,True
146125_EEE_2013J,574,13,25,False
146165_BBB_2013J,167,18,40,False
1461795_CCC_2014J,306,17,25,False
146188_AAA_2013J,597,32,53,False
146192_GGG_2014B,5,2,3,True
1462676_CCC_2014B,30,4,10,False
146455_FFF_2013B,91,8,12,False
146485_DDD_2013J,856,72,67,False
1464932_DDD_2013J,15,2,7,True
1464952_CCC_2014B,19,5,2,True
1464952_FFF_2013B,5593,148,170,False
146503_AAA_2014J,368,65,30,False
1465407_FFF_2014B,2528,50,153,False
1465690_AAA_2013J,3460,165,112,False
146600_BBB_2013J,324,33,40,False
146651_DDD_2013B,650,64,59,False
146666_DDD_2013J,708,66,102,False
146679_FFF_2013B,610,18,50,False
1467014_BBB_2013J,1290,141,90,False
146738_FFF_2013J,3380,98,186,False
1468838_CCC_2014B,85,11,10,False
1468838_CCC_2014J,187,10,22,False
146943_DDD_2014J,806,61,73,False
146974_EEE_2013J,1018,55,59,False
1470291_CCC_2014B,417,28,55,False
1470291_DDD_2013B,863,79,139,False
1470552_GGG_2013J,249,21,26,False
1471214_AAA_2014J,1154,33,63,False
147168_FFF_2013B,8495,246,242,False
1472925_AAA_2013J,936,47,55,False
1472925_AAA_2014J,523,34,36,False
147307_DDD_2013B,221,11,41,False
147328_DDD_2014J,2449,149,130,False
1473878_FFF_2014J,2511,120,153,False
1474869_CCC_2014B,9979,222,115,False
1474903_CCC_2014J,1210,54,118,False
147675_CCC_2014B,708,52,45,False
147715_DDD_2014J,861,61,118,False
1477284_FFF_2014J,2011,62,133,False
147756_AAA_2013J,611,74,40,False
147756_AAA_2014J,924,80,67,False
